stop,miles,elevation
Ellsworth St & Crescent Ave,0,106.2981661
Folsom St & Crescent Ave,0.087949,61.69127494
Folsom St & Ogden St,0.16458,115.9917688
Folsom St & Tompkins St,0.243008,164.5405893
Folsom St & Cortland Ave,0.360422,199.8846521
Cortland Ave & Prentiss St,0.4449,155.3884564
Nevada St & Cortland Ave,0.510345,129.6786131
Bernal Heights Blvd & Powhattan Ave,0.63424,193.34164
Bradford St & Bernal Heights Blvd,0.714025,224.4636227
Bradford St & Esmeralda Ave,0.77244,249.9450211
Ripley St & Alabama St,0.910761,143.2232001
Ripley St & Folsom St,1.058267,212.6238585
Folsom St & Stoneman St,1.147327,142.2241187
Folsom St & Precita Ave,1.270331,74.62483835
Folsom St & Cesar Chavez St,1.366088,42.25846592
Folsom St & 25th St,1.528609,60.98789565
24th St & Folsom St,1.652305,59.3015767
24th St & South Van Ness Ave,1.75711,65.85876195
24th St & Mission St,1.875819,73.38894592
